i,j,k,a,b,c,val
2,3,3,3,3,3,0.30028310600077707 - 7.697828984015588e-17im
2,3,4,1,1,1,-0.9999999999999997 + 3.430777821555292e-17im
2,3,4,1,2,3,0.9999999999999999 + 3.69778549322349e-32im
2,3,4,1,3,2,1.0000000000000004 - 6.861555643110575e-17im
2,3,4,1,4,4,-0.9999999999999997 + 3.430777821555287e-17im
2,3,4,2,1,3,0.6180339887498949 - 4.2406746031409887e-17im
2,3,4,2,1,4,-0.7861513777574229 + 2.6971107111952977e-17im
2,3,4,2,2,2,-0.9999999999999997 - 3.43077782155529e-17im
2,3,4,2,3,1,0.6180339887498952 - 4.2406746031409807e-17im
2,3,4,2,3,3,-0.6180339887498947 + 6.361011904711468e-17im
2,3,4,2,3,4,-0.4858682717566448 - 7.45463066290101e-17im
2,3,4,2,4,1,-0.7861513777574232 + 2.6971107111953e-17im
2,3,4,2,4,3,-0.48586827175664515 + 1.4122255026661437e-16im
2,3,4,2,4,4,-0.38196601125010404 + 1.3104405199848227e-17im
2,3,4,3,1,2,-0.7861513777574233 + 2.6971107111953008e-17im
2,3,4,3,1,3,-0.48586827175664515 - 7.454630662901054e-17im
2,3,4,3,1,4,-0.3819660112501041 + 1.3104405199847663e-17im
2,3,4,3,2,1,-0.7861513777574233 - 2.6971107111953008e-17im
2,3,4,3,2,4,0.6180339887498948 - 1.1602773984650707e-16im
2,3,4,3,3,1,-0.48586827175664565 + 1.4122255026661405e-16im
2,3,4,3,3,3,-0.7861513777574233 + 8.091332133585902e-17im
2,3,4,3,3,4,0.3819660112501043 - 2.620881039969589e-17im
2,3,4,3,4,1,-0.3819660112501045 + 1.3104405199847882e-17im
2,3,4,3,4,2,0.6180339887498945 + 1.1602773984650655e-16im
2,3,4,3,4,3,0.3819660112501051 - 2.6208810399695964e-17im
2,3,4,3,4,4,-0.18558516575586761 + 6.367014706848917e-18im
2,4,1,1,2,1,0.9999999999999999 + 2.46519032881566e-32im
2,4,1,1,3,1,-0.7861513777574235 + 1.7456067208541656e-16im
2,4,1,2,1,1,0.9999999999999999 + 6.162975822039149e-32im
2,4,1,2,3,1,-0.7861513777574223 + 1.7456067208541652e-16im
2,4,1,3,1,1,-0.9999999999999996 + 3.4307778215552914e-17im
2,4,1,3,3,1,0.7861513777574219 + 1.475895649734635e-16im
2,4,1,4,1,1,-0.7861513777574222 + 1.7456067208541661e-16im
2,4,1,4,2,1,1.272019649514069 + 3.135770538045568e-32im
2,4,1,4,3,1,-0.3819660112501045 + 8.481349206281894e-17im
2,4,2,1,1,1,-1.2720196495140685 + 4.36401680213539e-17im
2,4,2,1,2,3,0.9999999999999999 + 0.0im
2,4,2,1,3,2,1.272019649514069 - 3.1357705380455685e-32im
2,4,2,1,4,3,-0.7861513777574223 + 1.7456067208541656e-16im
2,4,2,2,1,2,-0.7861513777574239 + 2.6971107111952987e-17im
2,4,2,2,1,3,-0.618033988749894 + 1.37231112862212e-16im
2,4,2,2,2,1,-1.2720196495140685 - 4.364016802135397e-17im
2,4,2,2,3,3,-0.9999999999999997 - 3.430777821555289e-17im
2,4,2,2,4,2,-0.9999999999999997 + 3.430777821555284e-17im
2,4,2,2,4,3,0.4858682717566455 + 1.1977577646128613e-32im
2,4,2,3,1,3,-0.9999999999999996 + 3.4307778215552914e-17im
2,4,2,3,2,2,1.272019649514069 - 6.271541076091137e-32im
2,4,2,3,3,1,-0.7861513777574228 - 2.697110711195297e-17im
2,4,2,3,3,3,-0.6180339887498941 - 1.3723111286221203e-16im
2,4,2,3,4,1,1.0000000000000002 - 3.6303480391370247e-32im
2,4,2,3,4,3,-0.4858682717566443 - 1.9909979598622324e-16im
2,4,2,4,1,2,-0.9999999999999996 + 3.4307778215552914e-17im
2,4,2,4,1,3,0.48586827175664543 - 2.157688568956239e-16im
2,4,2,4,2,3,-0.7861513777574222 - 1.7456067208541654e-16im
2,4,2,4,3,1,1.0000000000000002 + 6.861555643110582e-17im
2,4,2,4,3,3,-0.4858682717566443 - 1.6669060909401284e-17im
2,4,2,4,4,1,0.7861513777574228 - 1.4758956497346292e-16im
2,4,2,4,4,2,0.7861513777574219 + 1.475895649734635e-16im
2,4,2,4,4,3,0.23606797749978864 + 1.2963475657474128e-31im
2,4,3,1,1,1,1.272019649514069 - 7.83942634511392e-32im
2,4,3,1,2,3,0.9999999999999999 + 4.93038065763132e-32im
2,4,3,1,3,2,-1.2720196495140685 + 4.364016802135394e-17im
