irrep,M1,Y,N2,N1,M2,row,n,m,col,val
1,1,2,3,1,1,2,1,1,1,-0.25290837235279745 - 5.463857962559703e-15im
1,1,2,3,1,2,1,1,1,1,-0.16717453203207058 + 0.025843056301981648im
1,1,2,3,1,2,2,1,1,1,-0.2131335603883042 + 0.008382006751489333im
1,1,2,3,1,3,1,1,1,1,0.26778063961134635 + 4.071610708601008e-15im
1,1,2,3,1,3,2,1,1,1,-0.03977481196449344 - 0.00838200675149346im
1,1,2,3,2,2,1,1,1,1,0.3333333333333333 + 4.608160483028103e-15im
1,1,2,3,3,3,1,1,1,1,0.3333333333333336 + 0.0im
1,1,2,3,4,1,1,1,1,1,-0.333333333333333 - 2.558501098707624e-15im
1,1,3,1,1,1,1,1,1,1,-0.2677806396113463 - 1.5567923297592089e-15im
1,1,3,1,1,1,2,1,1,1,0.03977481196449341 + 0.00838200675149314im
1,1,3,1,1,2,1,1,1,1,0.10060610757927556 + 0.02584305630198239im
1,1,3,1,1,2,2,1,1,1,-0.2529083723527974 - 5.297566633264408e-15im
1,1,3,1,1,3,1,1,1,1,-0.1671745320320708 + 0.025843056301979323im
1,1,3,1,1,3,2,1,1,1,-0.21313356038830425 + 0.008382006751486185im
1,1,3,1,2,3,1,1,1,1,0.3333333333333329 + 4.568997646061858e-15im
1,1,3,1,3,1,1,1,1,1,-0.3333333333333335 + 2.9417488214726735e-15im
1,1,3,1,4,2,1,1,1,1,-0.3333333333333332 - 2.3196153398296456e-15im
1,1,3,2,1,1,1,1,1,1,0.10060610757927549 + 0.02584305630198246im
1,1,3,2,1,1,2,1,1,1,-0.2529083723527974 - 5.416346154189619e-15im
1,1,3,2,1,2,1,1,1,1,-0.16717453203207056 + 0.025843056301981804im
1,1,3,2,1,2,2,1,1,1,-0.21313356038830425 + 0.008382006751489285im
1,1,3,2,1,3,1,1,1,1,0.26778063961134624 + 3.951857452465684e-15im
1,1,3,2,1,3,2,1,1,1,-0.03977481196449333 - 0.008382006751493528im
1,1,3,2,2,3,1,1,1,1,0.33333333333333315 + 4.451509135163125e-15im
1,1,3,2,3,1,1,1,1,1,-0.33333333333333326 + 2.550415262652914e-15im
1,1,3,2,4,2,1,1,1,1,0.33333333333333354 - 0.0im
1,1,3,3,1,1,1,1,1,1,-0.16717453203207086 + 0.0258430563019793im
1,1,3,3,1,1,2,1,1,1,-0.21313356038830422 + 0.008382006751486185im
1,1,3,3,1,2,1,1,1,1,0.26778063961134624 + 3.88000549878449e-15im
1,1,3,3,1,2,2,1,1,1,-0.03977481196449325 - 0.008382006751493476im
1,1,3,3,1,3,1,1,1,1,-0.10060610757927511 - 0.025843056301984843im
1,1,3,3,1,3,2,1,1,1,0.25290837235279806 + 1.1046495446044617e-14im
1,1,3,3,2,3,1,1,1,1,0.3333333333333335 + 9.581840777741154e-15im
1,1,3,3,3,1,1,1,1,1,0.3333333333333335 + 1.0795408519165774e-16im
1,1,3,3,4,2,1,1,1,1,0.3333333333333335 + 4.805412077139624e-15im
1,2,1,1,1,1,1,1,1,1,0.3333333333333338 + 0.0im
1,2,1,2,1,2,1,1,1,1,0.33333333333333326 + 5.806441165069005e-16im
1,2,1,3,1,3,1,1,1,1,0.333333333333333 + 5.806441165069005e-16im
1,2,2,1,1,1,1,1,1,1,0.33333333333333326 + 7.74192155342534e-16im
1,2,2,2,1,2,1,1,1,1,0.3333333333333338 - 3.956982127306285e-15im
1,2,2,3,1,3,1,1,1,1,0.3333333333333331 + 5.591387788584968e-16im
1,2,3,1,1,1,1,1,1,1,0.33333333333333315 + 7.74192155342534e-16im
1,2,3,2,1,2,1,1,1,1,0.33333333333333326 + 6.451601294521116e-16im
1,2,3,3,1,3,1,1,1,1,0.3333333333333335 + 5.54837711328816e-15im
1,3,1,1,1,2,1,1,1,1,-0.3333333333333335 - 1.8813352550606113e-15im
1,3,1,2,1,3,1,1,1,1,-0.33333333333333337 - 2.3052981294404674e-15im
1,3,1,3,1,1,1,1,1,1,-0.33333333333333337 - 1.7753445364656473e-15im
1,3,2,1,1,2,1,1,1,1,0.3333333333333335 + 5.299535929748201e-17im
1,3,2,2,1,3,1,1,1,1,0.33333333333333365 - 1.3248839824370503e-17im
1,3,2,3,1,1,1,1,1,1,-0.3333333333333333 - 2.292049289616097e-15im
1,3,3,1,1,2,1,1,1,1,-0.3333333333333332 - 2.2788004497917263e-15im
1,3,3,2,1,3,1,1,1,1,0.3333333333333335 + 4.690089297827158e-15im
1,3,3,3,1,1,1,1,1,1,0.3333333333333335 + 4.690089297827158e-15im
1,4,1,1,1,3,1,1,1,1,-0.3333333333333335 - 1.8093739726580358e-15im
1,4,1,2,1,1,1,1,1,1,-0.3333333333333333 - 2.0950645999198306e-15im
1,4,1,3,1,2,1,1,1,1,-0.33333333333333315 - 2.312733649262151e-15im
1,4,2,1,1,3,1,1,1,1,-0.3333333333333332 - 2.639237223275631e-15im
1,4,2,2,1,1,1,1,1,1,0.33333333333333337 + 1.3604315583895005e-17im
1,4,2,3,1,2,1,1,1,1,0.3333333333333335 + 0.0im
1,4,3,1,1,3,1,1,1,1,0.3333333333333333 + 4.734301823195462e-15im
1,4,3,2,1,1,1,1,1,1,-0.3333333333333333 - 2.339942280429941e-15im
1,4,3,3,1,2,1,1,1,1,0.3333333333333333 + 4.9247622413699914e-15im
2,1,1,1,1,1,1,1,1,1,0.3333333333333339 + 3.9334551196521186e-15im
2,1,1,1,1,2,1,1,1,1,0.3333333333333333 + 4.822371530872936e-15im
2,1,1,1,1,3,1,1,1,1,0.33333333333333304 + 4.822371530872936e-15im
2,1,2,2,1,1,1,1,1,1,0.3333333333333332 + 4.777925710311895e-15im
2,1,2,2,1,2,1,1,1,1,0.33333333333333404 + 2.2222910280520442e-17im
2,1,2,2,1,3,1,1,1,1,0.33333333333333337 + 4.8001486205924156e-15im
2,1,3,3,1,1,1,1,1,1,0.33333333333333315 + 4.577919517787211e-15im
2,1,3,3,1,2,1,1,1,1,0.33333333333333337 + 4.555696607506691e-15im
2,1,3,3,1,3,1,1,1,1,0.3333333333333336 + 9.689188882306913e-15im
