i,j,k,a,b,c,val
4,2,4,1,2,4,0.0 - 0.3535533905932737im
4,2,4,1,2,6,-0.612372435695794 - 0.0im
4,2,4,1,3,2,0.612372435695794 + 0.0im
4,2,4,1,3,5,0.0 - 0.3535533905932737im
4,2,4,1,3,7,-0.0 - 0.28867513459481264im
4,2,4,1,3,8,0.0 - 0.5773502691896253im
4,2,4,1,3,9,0.0 - 0.28867513459481264im
4,2,4,2,1,1,-0.612372435695794 + 0.0im
4,2,4,2,1,3,-0.0 + 0.3535533905932737im
4,2,4,2,1,4,0.0 + 0.3535533905932737im
4,2,4,2,1,6,-0.612372435695794 - 0.0im
4,2,4,2,2,7,-0.0 - 0.5773502691896253im
4,2,4,2,2,8,0.0 + 0.5773502691896253im
4,2,4,2,2,9,0.0 - 0.5773502691896253im
4,2,4,2,3,1,0.0 - 0.3535533905932737im
4,2,4,2,3,3,0.612372435695794 + 0.0im
4,2,4,2,3,4,0.612372435695794 + 0.0im
4,2,4,2,3,6,0.0 - 0.3535533905932737im
4,2,4,3,1,2,-0.612372435695794 + 0.0im
4,2,4,3,1,5,0.0 + 0.3535533905932737im
4,2,4,3,1,7,-0.0 - 0.28867513459481264im
4,2,4,3,1,8,0.0 - 0.5773502691896253im
4,2,4,3,1,9,0.0 - 0.28867513459481264im
4,2,4,3,2,1,0.0 - 0.3535533905932737im
4,2,4,3,2,3,-0.612372435695794 + 0.0im
4,2,4,3,2,4,0.612372435695794 + 0.0im
4,2,4,3,2,6,0.0 + 0.3535533905932737im
4,2,4,3,3,2,-0.0 + 0.3535533905932737im
4,2,4,3,3,5,-0.612372435695794 - 0.0im
4,2,4,3,3,7,0.49999999999999944 + 0.0im
4,2,4,3,3,9,-0.49999999999999944 - 0.0im
4,3,1,1,1,1,-0.0 + 0.5im
4,3,1,1,1,3,0.8660254037844382 + 0.0im
4,3,1,2,1,2,0.0 - 1.0im
4,3,1,3,1,1,0.8660254037844382 + 0.0im
4,3,1,3,1,3,-0.0 + 0.5im
4,3,2,1,1,1,0.5 + 0.0im
4,3,2,1,1,3,0.0 + 0.8660254037844392im
4,3,2,2,1,2,-1.0 + 0.0im
4,3,2,3,1,1,0.0 + 0.8660254037844392im
4,3,2,3,1,3,0.5 + 0.0im
4,3,3,1,1,1,1.0 + 0.0im
4,3,3,2,1,2,1.0 + 0.0im
4,3,3,3,1,3,1.0 + 0.0im
4,3,4,1,1,2,0.0 + 0.3535533905932737im
4,3,4,1,1,5,0.612372435695794 + 0.0im
4,3,4,1,1,7,-0.49999999999999944 - 0.0im
4,3,4,1,1,9,0.49999999999999944 + 0.0im
4,3,4,1,2,1,0.612372435695794 + 0.0im
4,3,4,1,2,3,0.0 - 0.3535533905932737im
4,3,4,1,2,4,-0.0 + 0.3535533905932737im
4,3,4,1,2,6,-0.612372435695794 - 0.0im
4,3,4,1,3,2,0.612372435695794 + 0.0im
4,3,4,1,3,5,-0.0 + 0.3535533905932737im
4,3,4,1,3,7,0.0 + 0.28867513459481264im
4,3,4,1,3,8,-0.0 + 0.5773502691896253im
4,3,4,1,3,9,0.0 + 0.28867513459481264im
4,3,4,2,1,1,-0.612372435695794 + 0.0im
4,3,4,2,1,3,0.0 - 0.3535533905932737im
4,3,4,2,1,4,0.0 - 0.3535533905932737im
4,3,4,2,1,6,-0.612372435695794 - 0.0im
4,3,4,2,2,7,0.0 + 0.5773502691896253im
4,3,4,2,2,8,0.0 - 0.5773502691896253im
4,3,4,2,2,9,0.0 + 0.5773502691896253im
4,3,4,2,3,1,0.0 + 0.3535533905932737im
4,3,4,2,3,3,0.612372435695794 + 0.0im
4,3,4,2,3,4,0.612372435695794 + 0.0im
4,3,4,2,3,6,-0.0 + 0.3535533905932737im
4,3,4,3,1,2,-0.612372435695794 + 0.0im
4,3,4,3,1,5,0.0 - 0.3535533905932737im
4,3,4,3,1,7,0.0 + 0.28867513459481264im
4,3,4,3,1,8,-0.0 + 0.5773502691896253im
4,3,4,3,1,9,0.0 + 0.28867513459481264im
4,3,4,3,2,1,0.0 + 0.3535533905932737im
4,3,4,3,2,3,-0.612372435695794 + 0.0im
4,3,4,3,2,4,0.612372435695794 + 0.0im
4,3,4,3,2,6,0.0 - 0.3535533905932737im
4,3,4,3,3,2,0.0 - 0.3535533905932737im
4,3,4,3,3,5,-0.612372435695794 - 0.0im
4,3,4,3,3,7,-0.49999999999999944 - 0.0im
4,3,4,3,3,9,0.49999999999999944 + 0.0im
4,4,1,1,1,2,-1.2247448713915872 + 0.0im
4,4,1,1,2,3,1.2247448713915872 + 0.0im
4,4,1,2,1,3,1.2247448713915872 + 0.0im
4,4,1,2,3,1,-1.2247448713915872 + 0.0im
4,4,1,3,2,1,-1.2247448713915872 + 0.0im
4,4,1,3,3,2,1.2247448713915872 + 0.0im
4,4,1,4,2,1,1.224744871391588 + 0.0im
4,4,1,4,3,2,1.224744871391588 + 0.0im
4,4,1,5,1,1,-1.224744871391588 + 0.0im
4,4,1,5,3,3,1.224744871391588 + 0.0im
4,4,1,6,1,2,-1.224744871391588 + 0.0im
4,4,1,6,2,3,-1.224744871391588 + 0.0im
4,4,1,7,1,1,0.5 + 0.0im
4,4,1,7,1,3,-0.0 - 0.8660254037844382im
4,4,1,7,2,2,-1.0 + 0.0im
4,4,1,7,3,1,-0.0 - 0.8660254037844382im
4,4,1,7,3,3,0.5 + 0.0im
4,4,1,8,1,1,1.0 + 0.0im
4,4,1,8,2,2,1.0 + 0.0im
4,4,1,8,3,3,1.0 + 0.0im
4,4,1,9,1,1,0.5 + 0.0im
4,4,1,9,1,3,0.0 + 0.8660254037844392im
4,4,1,9,2,2,-1.0 + 0.0im
4,4,1,9,3,1,0.0 + 0.8660254037844392im
4,4,1,9,3,3,0.5 + 0.0im
4,4,2,1,1,2,0.612372435695794 + 0.0im
4,4,2,1,2,1,-0.0 + 1.0606601717798199im
4,4,2,1,2,3,-0.612372435695794 - 0.0im
4,4,2,1,3,2,-0.0 + 1.0606601717798199im
